snp	locus_gene	locus_entrez_id	distance_to_snp
rs651007	TTF1	7270	871580
rs651007	RNU6ATAC	100151684	886008
rs651007	SETX	23064	923446
rs4915344	ASPM	259266	13079
rs4915344	ZBTB41	360023	20065
rs4915344	F13B	2165	66348
rs4915344	CFHR5	81494	123941
rs4915344	CRB1	23418	134589
rs4915344	CFHR2	3080	174389
rs4915344	CFHR4	10877	214643
rs4915344	CFHR1	3078	301426
rs4915344	CFHR3	10878	338209
rs4915344	DENND1B	163486	371133
rs4915344	CFH	3075	386111
rs4915344	KCNT2	343450	524390
rs4915344	MIR4735	100616363	551134
rs4915344	C1orf53	388722	769032
rs4915344	LHX9	56956	778287
rs12134960	F13B	2165	1187
rs12134960	CFHR5	81494	30704
rs12134960	ASPM	259266	43750
rs12134960	CFHR2	3080	81152
rs12134960	ZBTB41	360023	113302
rs12134960	CFHR4	10877	121406
rs12134960	CFHR1	3078	208189
rs12134960	CRB1	23418	227826
rs12134960	CFHR3	10878	244972
rs12134960	CFH	3075	292874
rs12134960	KCNT2	343450	431153
rs12134960	MIR4735	100616363	457897
rs12134960	DENND1B	163486	464370
rs12134960	C1orf53	388722	862269
rs12134960	LHX9	56956	871524
rs651007	ABO	28	3217
rs651007	SURF6	6838	50343
rs651007	MED22	6837	59892
rs651007	OBP2B	29989	69181
rs651007	RPL7A	6130	69783
rs651007	SNORD24	26820	70965
rs651007	SNORD36A	26815	72025
rs651007	SNORD36C	26813	72416
rs651007	SURF1	6834	73324
rs651007	SURF2	6835	78121
rs651007	SURF4	6836	83018
rs651007	STKLD1	169436	97936
rs651007	GBGT1	26301	114486
rs651007	REXO4	57109	127628
rs651007	RALGDS	5900	129097
rs651007	ADAMTS13	11093	135927
rs651007	CACFD1	11094	181534
rs651007	SLC2A6	11182	192664
rs651007	CEL	1056	206570
rs651007	GTF3C5	9328	219928
rs651007	MIR6877	102465528	226372
rs651007	MYMK	389827	236155
rs651007	ADAMTSL2	9719	253733
rs651007	GFI1B	8328	286744
rs651007	FAM163B	642968	299984
rs651007	MIR548AW	100846992	332660
rs651007	TSC1	7248	333798
rs651007	DBH	1621	357929
rs651007	DBH-AS1	138948	376155
rs651007	SARDH	1757	385129
rs651007	SPACA9	11092	388230
rs651007	AK8	158067	399654
rs651007	VAV2	7410	483463
rs651007	GTF3C4	9329	583476
rs651007	DDX31	64794	608030
rs651007	BARHL1	56751	688165
rs651007	CFAP77	389799	705114
rs651007	BRD3OS	266655	747008
rs651007	BRD3	8019	751874
rs651007	AL445931.1	100130548	775859
rs651007	WDR5	11091	856934
rs651007	TTF1	7270	871580
rs651007	RNU6ATAC	100151684	886008
rs651007	SETX	23064	923446
rs927332	F13A1	2162	10627
rs927332	LY86-AS1	285780	14825
rs927332	MIR7853	102466866	162205
rs927332	MIR5683	100847034	162231
rs927332	LY86	9450	256468
rs927332	NRN1	51299	324035
rs927332	FARS2	10667	560060
rs927332	AL022097.1	101927950	636368
rs927332	RREB1	6239	775957
rs927332	AL021328.1	101927972	873565
rs927332	SSR1	6745	936666
rs927332	CAGE1	285782	995016
rs2181540	MCF2L	23263	889
rs2181540	F7	2155	6938
rs2181540	F10	2159	23964
rs2181540	F10-AS1	104413892	29305
rs2181540	PROZ	8858	59804
rs2181540	PCID2	55795	78689
rs2181540	CUL4A	8451	109343
rs2181540	MIR8075	102465874	164070
rs2181540	LAMP1	3916	198391
rs2181540	ATP11A	23250	211682
rs2181540	GRTP1	79774	225314
rs2181540	ADPRHL1	113622	300760
rs2181540	ATP11A-AS1	100874205	344157
rs2181540	DCUN1D2	55208	356969
rs2181540	TMCO3	55002	392145
rs2181540	TFDP1	7027	485871
rs2181540	TUBGCP3	10426	510683
rs2181540	ATP4B	496	549954
rs2181540	GRK1	6011	568305
rs2181540	LINC00552	100130386	649661
rs2181540	TMEM255B	348013	660390
rs2181540	SPACA7	122258	664161
rs2181540	GAS6	2621	721699
rs2181540	GAS6-AS2	100506394	765318
rs2181540	LINC01044	104266956	767625
rs2181540	LINC01043	101928752	777092
rs2181540	LINC00565	100861555	827664
rs2181540	RASA3	22821	878933
rs2181540	SOX1-OT	100505996	990835
rs12116643	CFHR5	81494	5621
rs12116643	F13B	2165	35138
rs12116643	CFHR2	3080	44827
rs12116643	ASPM	259266	80075
rs12116643	CFHR4	10877	85081
rs12116643	ZBTB41	360023	149627
rs12116643	CFHR1	3078	171864
rs12116643	CFHR3	10878	208647
rs12116643	CFH	3075	256549
rs12116643	CRB1	23418	264151
rs12116643	KCNT2	343450	394828
rs12116643	MIR4735	100616363	421572
rs12116643	DENND1B	163486	500695
rs12116643	C1orf53	388722	898594
rs12116643	LHX9	56956	907849
rs2284664	CFH	3075	14109
rs2284664	CFHR3	10878	41400
rs2284664	CFHR1	3078	86362
rs2284664	CFHR4	10877	116846
rs2284664	KCNT2	343450	124170
rs2284664	MIR4735	100616363	150914
rs2284664	CFHR2	3080	210377
rs2284664	CFHR5	81494	244161
rs2284664	F13B	2165	305796
rs2284664	ASPM	259266	350733
rs2284664	ZBTB41	360023	420285
rs2284664	CRB1	23418	534809
rs2284664	DENND1B	163486	771353
rs12124794	CFH	3075	40530
rs12124794	CFHR3	10878	82387
rs12124794	KCNT2	343450	83183
rs12124794	MIR4735	100616363	109927
rs12124794	CFHR1	3078	127349
rs12124794	CFHR4	10877	157833
rs12124794	CFHR2	3080	251364
rs12124794	CFHR5	81494	285148
rs12124794	F13B	2165	346783
rs12124794	ASPM	259266	391720
rs12124794	ZBTB41	360023	461272
rs12124794	CRB1	23418	575796
rs12124794	DENND1B	163486	812340
rs11038993	SNORD67	692108	26867
rs11038993	MIR5582	100847020	36174
rs11038993	CKAP5	9793	46318
rs11038993	F2	2147	49860
rs11038993	LRP4-AS1	100507401	57046
rs11038993	LRP4	4038	67502
rs11038993	ZNF408	79797	83454
rs11038993	ARHGAP1	392	88751
rs11038993	ATG13	9776	114548
rs11038993	C11orf49	79096	147323
rs11038993	HARBI1	283254	171457
rs11038993	AMBRA1	55626	195241
rs11038993	MIR3160-1	100422827	337477
rs11038993	MIR3160-2	100422825	337479
rs11038993	ARFGAP2	84364	374933
rs11038993	PACSIN3	29763	388159
rs11038993	MIR6745	102466726	390245
rs11038993	CHRM4	1132	402758
rs11038993	MDK	4192	405529
rs11038993	DGKZ	8525	408812
rs11038993	MIR4688	100616368	412882
rs11038993	DDB2	1643	425099
rs11038993	ACP2	53	449936
rs11038993	NR1H3	10062	458934
rs11038993	CREB3L1	90993	467944
rs11038993	MADD	8567	479795
rs11038993	AC018410.1	101928943	481291
rs11038993	MYBPC3	4607	542031
rs11038993	SPI1	6688	565494
rs11038993	MIR4487	100616222	611604
rs11038993	AC024475.4	101928894	612260
rs11038993	SLC39A13	91252	617766
rs11038993	PSMC3	5702	629403
rs11038993	RAPSN	5913	648391
rs11038993	PHF21A	51317	668188
rs11038993	CELF1	10658	676567
rs11038993	NDUFS3	4722	775970
rs11038993	PTPMT1	114971	776064
rs11038993	KBTBD4	55709	782831
rs11038993	FAM180B	399888	797327
rs11038993	C1QTNF4	114900	800298
rs11038993	MTCH2	23788	827949
rs11038993	LARGE2	120071	860270
rs11038993	AGBL2	79841	870225
rs11038993	PEX16	9409	870554
rs11038993	C11orf94	143678	882084
rs11038993	MAPK8IP1	9479	882901
rs11038993	CRY2	1408	906118
rs11038993	FNBP4	23360	927151
rs11038993	SLC35C1	55343	976351
rs11038993	NUP160	23279	988721
rs10982156	ORM1	5004	691
rs10982156	ORM2	5005	4085
rs10982156	AKNA	80709	8372
rs10982156	COL27A1	85301	13273
rs10982156	WHRN	25861	76296
rs10982156	MIR455	619556	116255
rs10982156	KIF12	113220	226493
rs10982156	AMBP	259	247312
rs10982156	ATP6V1G1	9550	261962
rs10982156	ZNF618	114991	269193
rs10982156	TMEM268	203197	285422
rs10982156	TEX53	105376230	330520
rs10982156	TEX48	100505478	340650
rs10982156	TNFSF15	9966	458851
rs10982156	TNFSF8	944	567559
rs10982156	TNC	3371	693794
rs10982156	RGS3	5998	728041
rs10982156	AL162425.1	101928748	793755
rs10982156	DEC1	50514	816034
rs10982156	C9orf43	257169	896100
rs10982156	POLE3	54107	915112
rs10982156	ALAD	210	924451
rs10982156	HDHD3	81932	948785
rs10982156	BSPRY	54836	954551
rs10982156	WDR31	114987	985486
rs12518614	LINC02145	401172	13739
rs12518614	MED10	84246	47701
rs12518614	UBE2QL1	134111	124443
rs12518614	LINC01018	255167	257956
rs12518614	NSUN2	54888	275059
rs12518614	LINC02102	100505625	362145
rs12518614	PAPD7	11044	388827
rs12518614	LINC02236	109729133	471700
rs12518614	MIR4278	100422999	503673
rs12518614	ICE1	23379	833946
rs10801560	CFH	3075	2034
rs10801560	CFHR3	10878	29325
rs10801560	CFHR1	3078	74287
rs10801560	CFHR4	10877	104771
rs10801560	KCNT2	343450	136245
rs10801560	MIR4735	100616363	162989
rs10801560	CFHR2	3080	198302
rs10801560	CFHR5	81494	232086
rs10801560	F13B	2165	293721
rs10801560	ASPM	259266	338658
rs10801560	ZBTB41	360023	408210
rs10801560	CRB1	23418	522734
rs10801560	DENND1B	163486	759278
rs10801531	KCNT2	343450	168635
rs10801531	MIR4735	100616363	187999
rs10801531	CFH	3075	257464
rs10801531	CFHR3	10878	380381
rs10801531	CFHR1	3078	425343
rs10801531	CFHR4	10877	455827
rs10801531	CFHR2	3080	549358
rs10801531	CFHR5	81494	583142
rs10801531	F13B	2165	644777
rs10801531	ASPM	259266	689714
rs10801531	ZBTB41	360023	759266
rs10801531	CRB1	23418	873790
rs11243081	LY86-AS1	285780	9192
rs11243081	F13A1	2162	16260
rs11243081	MIR7853	102466866	167838
rs11243081	MIR5683	100847034	167864
rs11243081	LY86	9450	250835
rs11243081	NRN1	51299	329668
rs11243081	FARS2	10667	565693
rs11243081	AL022097.1	101927950	642001
rs11243081	RREB1	6239	770324
rs11243081	AL021328.1	101927972	879198
rs11243081	SSR1	6745	931033
rs11243081	CAGE1	285782	989383
rs17090693	SERPINA1	5265	1753
rs17090693	SERPINA2	390502	8296
rs17090693	SERPINA6	866	51600
rs17090693	SERPINA11	256394	67470
rs17090693	SERPINA10	51156	81723
rs17090693	SERPINA9	327657	87723
rs17090693	PPP4R4	57718	95259
rs17090693	SERPINA12	145264	112280
rs17090693	SERPINA4	5267	186097
rs17090693	SERPINA5	5104	186448
rs17090693	SERPINA3	12	237383
rs17090693	IFI27L2	83982	244741
rs17090693	IFI27	3429	258296
rs17090693	SERPINA13P	388007	265731
rs17090693	IFI27L1	122509	271148
rs17090693	DDX24	57062	293749
rs17090693	OTUB2	78990	326064
rs17090693	CCDC197	256369	366131
rs17090693	GSC	145258	393222
rs17090693	ASB2	51676	398203
rs17090693	MIR4506	100616140	426692
rs17090693	FAM181A	90050	445386
rs17090693	FAM181A-AS1	283592	447928
rs17090693	PRIMA1	145270	586513
rs17090693	UNC79	57578	667118
rs17090693	DICER1	23405	711234
rs17090693	MIR3173	100422981	762925
rs17090693	DICER1-AS1	400242	782651
rs17090693	CLMN	79789	806946
rs17090693	LINC02292	101929080	954590
rs217184	HPR	3250	5180
rs217184	HP	3240	11011
rs217184	DHX38	9785	21496
rs217184	TXNL4B	54957	22365
rs217184	PMFBP1	83449	40091
rs217184	DHODH	1723	44402
rs217184	PKD1L3	342372	72088
rs217184	IST1	9798	140867
rs217184	ZNF821	55565	176730
rs217184	ATXN1L	342371	186798
rs217184	LINC01572	101927957	211235
rs217184	AP1G1	164	262865
rs217184	SNORD71	692111	313579
rs217184	PHLPP2	23035	347365
rs217184	SNORA70D	100379141	373365
rs217184	MARVELD3	91862	429952
rs217184	TAT	6898	494936
rs217184	ZNF19	7567	506977
rs217184	CHST4	10164	533320
rs217184	ZNF23	7571	608971
rs217184	LINC02136	105371333	645602
rs217184	CALB2	794	681628
rs217184	ZFHX3	463	710819
rs217184	CMTR2	55783	782351
rs217184	HYDIN	54768	841344
rs2070635	AHSG	197	2931
rs2070635	FETUB	26998	17582
rs2070635	DNAJB11	51726	32587
rs2070635	HRG	3273	41829
rs2070635	TBCCD1	55171	47844
rs2070635	CRYGS	1427	71685
rs2070635	KNG1	3827	98889
rs2070635	LINC02052	253573	124726
rs2070635	EIF4A2	1974	164818
rs2070635	LINC02020	107986164	167691
rs2070635	MIR1248	100302143	168285
rs2070635	SNORA81	677847	168288
rs2070635	SNORA4	619568	169225
rs2070635	RFC4	5984	171493
rs2070635	LINC02043	102724699	192493
rs2070635	ADIPOQ	9370	224303
rs2070635	ADIPOQ-AS1	100874095	233499
rs2070635	DGKG	1608	256150
rs2070635	ST6GAL1	6480	312098
rs2070635	RPL39L	116832	502561
rs2070635	ETV5	2119	508069
rs2070635	AC007920.1	101929106	578703
rs2070635	RTP1	132112	579099
rs2070635	MASP1	5648	598898
rs2070635	AC007920.2	101929130	672885
rs2070635	TRA2B	6434	680251
rs2070635	RTP4	64108	749945
rs2070635	IGF2BP2	10644	793331
rs2070635	MIR548AQ	100847078	850483
rs2070635	IGF2BP2-AS1	646600	888600
rs2070635	SENP2	59343	984836
rs2230203	GPR108	56927	19143
rs2230203	C3	718	19791
rs2230203	MIR6791	102465474	25941
rs2230203	TRIP10	9322	27154
rs2230203	TNFSF14	8740	40183
rs2230203	SH2D3A	10045	41389
rs2230203	VAV1	7409	61943
rs2230203	CD70	970	106668
rs2230203	TNFSF9	8744	174843
rs2230203	ADGRE1	2015	176795
rs2230203	TUBB4A	10382	207923
rs2230203	DENND1C	79958	228214
rs2230203	ADGRE4P	326342	241729
rs2230203	AC025278.1	105372257	242440
rs2230203	CRB3	92359	243550
rs2230203	SLC25A23	79085	245568
rs2230203	SLC25A41	284427	276992
rs2230203	KHSRP	8570	285977
rs2230203	MIR3940	100500888	294260
rs2230203	MBD3L2B	729458	308198
rs2230203	GTF2F1	2962	316790
rs2230203	MIR6790	102465473	317788
rs2230203	MBD3L5	284428	319807
rs2230203	MIR6885	102465533	321068
rs2230203	MBD3L4	653656	326977
rs2230203	PSPN	5623	331713
rs2230203	ALKBH7	84266	335520
rs2230203	MBD3L2	125997	338550
rs2230203	MBD3L2	729458	338550
rs2230203	CLPP	8192	341863
rs2230203	MBD3L3	653657	345438
rs2230203	ZNF557	79230	358673
rs2230203	ACER1	125981	377142
rs2230203	INSR	3643	401484
rs2230203	MLLT1	4298	430823
rs2230203	RFX2	5990	511199
rs2230203	ACSBG2	81616	517677
rs2230203	ARHGEF18	23370	684342
rs2230203	AC011444.1	100128568	690408
rs2230203	RANBP3	8498	732629
rs2230203	PEX11G	92960	766104
rs2230203	TEX45	374877	782205
rs2230203	CAPS	828	794894
rs2230203	VMAC	400673	799918
rs2230203	ZNF358	140467	804521
rs2230203	NDUFA11	126328	806765
rs2230203	MCOLN1	57192	811855
rs2230203	PNPLA6	10908	823233
rs2230203	FUT5	2527	840231
rs2230203	AC024592.2	101928844	852532
rs2230203	FUT3	2525	859297
rs2230203	FUT6	2528	871040
rs2230203	NRTN	4902	882447
rs2230203	CAMSAP3	57662	885131
rs2230203	MIR6792	102465475	906668
rs2230203	XAB2	56949	908754
rs2230203	PET100	100131801	918966
rs2230203	DUS3L	56931	919533
rs2230203	PCP2	126006	920840
rs2230203	PRR22	163154	926006
rs2230203	STXBP2	6813	926110
rs2230203	CATSPERD	257062	932037
rs2230203	RETN	56729	958273
rs2230203	MCEMP1	199675	965857
rs2230203	TRAPPC5	126003	970072
rs2230203	FCER2	2208	977987
rs2230203	LONP1	9361	990199
rs429358	APOE	348	709
rs429358	TOMM40	10452	4995
rs429358	APOC1	341	5563
rs429358	APOC1P1	342	18120
rs429358	NECTIN2	5819	19456
rs429358	APOC4	346	33554
rs429358	APOC2	344	37298
rs429358	CLPTM1	1209	45901
rs429358	BCAM	4059	87264
rs429358	RELB	5971	92746
rs429358	CBLC	23624	108050
rs429358	CLASRP	11129	130356
rs429358	BCL3	602	148640
rs429358	MIR8085	102465879	149963
rs429358	ZNF296	162979	162816
rs429358	AC011489.1	105372419	167826
rs429358	GEMIN7	79760	170511
rs429358	MARK4	57787	170604
rs429358	PPP1R37	284352	182712
rs429358	CEACAM16	388551	197970
rs429358	CEACAM19	56971	224325
rs429358	NKPD1	284353	241066
rs429358	PVR	5817	245101
rs429358	TRAPPC6A	79090	254244
rs429358	MIR4531	100616355	254952
rs429358	BLOC1S3	388552	270061
rs429358	IGSF23	147710	271903
rs429358	CEACAM22P	388550	287863
rs429358	EXOC3L2	90332	303937
rs429358	CEACAM20	125931	378896
rs429358	CKM	1158	397730
rs429358	ZNF180	7733	408160
rs429358	KLC3	147700	424750
rs429358	ERCC2	2068	441153
rs429358	ZNF229	7772	460106
rs429358	PPP1R13L	10848	470950
rs429358	CD3EAP	10849	497525
rs429358	ERCC1	2067	498649
rs429358	ZNF285	26974	507076
rs429358	MIR6088	102464836	527970
rs429358	ZNF112	7771	541467
rs429358	FOSB	2354	559311
rs429358	RTN2	6253	576605
rs429358	PPM1N	147699	580093
rs429358	VASP	7408	597895
rs429358	ZNF235	9310	603638
rs429358	OPA3	80207	618743
rs429358	ZNF233	353355	633367
rs429358	ZNF227	7770	671416
rs429358	GPR4	2828	681080
rs429358	EML2	24139	698310
rs429358	ZNF226	7769	730303
rs429358	MIR330	442902	730310
rs429358	EML2-AS1	100287177	732810
rs429358	ZNF234	10780	748375
rs429358	GIPR	2696	759560
rs429358	MIR642A	693227	766244
rs429358	MIR642B	100500845	766248
rs429358	ZNF225	7768	773868
rs429358	SNRPD2	6633	778770
rs429358	QPCTL	54814	783799
rs429358	AC021092.1	100379224	795539
rs429358	ZNF224	7767	798798
rs429358	FBXO46	23403	801945
rs429358	ZNF284	342909	819071
rs429358	BHMG1	388553	824567
rs429358	ZNF223	7766	840693
rs429358	SIX5	147912	856101
rs429358	DM1-AS	109729182	859112
rs429358	DMPK	1760	861033
rs429358	DMWD	1762	874263
rs429358	ZNF222	7673	875572
rs429358	RSPH6A	81492	887026
rs429358	ZNF230	7773	894758
rs429358	AC006213.1	101928063	905848
rs429358	SYMPK	8189	906726
rs429358	ZNF155	7711	910359
rs429358	ZNF221	7638	940975
rs429358	FOXA3	3171	955305
rs429358	ZNF45	7596	973406
rs429358	IRF2BP1	26145	974923
rs429358	MYPOP	339344	981336
rs9399599	STXBP5	134957	8313
rs9399599	SAMD5	389432	126764
rs9399599	LUADT1	106182249	201171
rs9399599	AL365271.1	105378044	359271
rs9399599	ADGB	79747	566701
rs9399599	AL359547.1	101928661	783232
rs9399599	RAB32	10981	827198
rs9399599	SASH1	23328	890141
rs9399599	GRM1	2911	944565
rs7301826	STX2	2054	16956
rs7301826	RAN	5901	65323
rs7301826	ADGRD1	283383	147351
rs7301826	RIMBP2	23504	288639
rs7301826	LINC01257	116437	358455
rs7301826	PIWIL1	9271	433919
rs7301826	LINC02415	107161159	489554
rs7301826	FZD10	11211	640816
rs7301826	FZD10-AS1	440119	644300
rs7301826	TMEM132D	121256	902890
rs7301826	SFSWAP	6433	904525
rs3136739	POLB	5423	9108
rs3136739	IKBKB	3551	14909
rs3136739	DKK4	27121	26506
rs3136739	VDAC3	7419	44062
rs3136739	SLC20A2	6575	68913
rs3136739	AC083973.1	101929897	76365
rs3136739	PLAT	5327	139838
rs3136739	AP3M2	10947	175889
rs3136739	SMIM19	114926	193593
rs3136739	KAT6A	7994	295572
rs3136739	CHRNB3	1142	349814
rs3136739	CHRNA6	8973	405058
rs3136739	ANK1	286	450800
rs3136739	THAP1	55145	489112
rs3136739	RNF170	81790	502075
rs3136739	MIR4469	100616115	548635
rs3136739	HOOK3	84376	549370
rs3136739	FNTA	2339	686632
rs3136739	MIR486-1	619554	687054
rs3136739	MIR486-2	102465696	687055
rs3136739	NKX6-3	157848	696893
rs3136739	GPAT4	137964	722561
rs3136739	POMK	84197	745944
rs3136739	HGSNAT	138050	792893
rs3136739	GINS4	84296	802516
rs3136739	GOLGA7	51125	836582
rs3136739	AC016868.1	105379391	907143
rs3136739	SNORD65B	109616980	920835
rs3136739	POTEA	340441	944921
rs4129267	IL6R	3570	15662
rs4129267	SHE	126669	15984
rs4129267	IL6R-AS1	101928101	47224
rs4129267	TDRD10	126668	48431
rs4129267	UBE2Q1	55585	94789
rs4129267	UBE2Q1-AS1	100874097	99821
rs4129267	ATP8B2	57198	102481
rs4129267	CHRNB2	1141	113993
rs4129267	ADAR	103	128274
rs4129267	AQP10	89872	128463
rs4129267	HAX1	10456	177913
rs4129267	UBAP2L	9898	182278
rs4129267	SNORA58B	109617023	193926
rs4129267	C1orf43	25912	233151
rs4129267	KCNN3	3782	243667
rs4129267	C1orf189	388701	247455
rs4129267	TPM3	7170	259140
rs4129267	MIR190B	100126346	260045
rs4129267	NUP210L	91181	298672
rs4129267	MIR5698	100847024	349196
rs4129267	RAB13	5872	467430
rs4129267	PMVK	10654	470946
rs4129267	JTB	10899	476100
rs4129267	CREB3L4	148327	479425
rs4129267	SLC39A1	27173	485604
rs4129267	PBXIP1	57326	490288
rs4129267	MIR6737	102465441	491368
rs4129267	CRTC2	200186	495163
rs4129267	PYGO2	90780	503238
rs4129267	DENND4B	9909	507092
rs4129267	SHC1	6464	508510
rs4129267	AL358472.5	101928059	518548
rs4129267	CKS1B	1163	520865
rs4129267	MIR4258	100423020	521905
rs4129267	FLAD1	80308	529550
rs4129267	GATAD2B	57459	530428
rs4129267	LENEP	55891	539798
rs4129267	ZBTB7B	51043	548842
rs4129267	DCST2	127579	564732
rs4129267	DCST1	149095	580036
rs4129267	ADAM15	8751	596778
rs4129267	EFNA4	1945	609943
rs4129267	EFNA3	1944	625084
rs4129267	AL513523.2	343052	651697
rs4129267	SLC27A3	11000	673631
rs4129267	EFNA1	1942	673672
rs4129267	INTS3	65123	678980
rs4129267	SLC50A1	55974	681556
rs4129267	DPM3	54344	686103
rs4129267	KRTCAP2	200185	715620
rs4129267	TRIM46	80128	719999
rs4129267	MUC1	4582	732036
rs4129267	MIR92B	693235	741389
rs4129267	THBS3	7059	741800
rs4129267	MTX1	4580	754911
