snp	pqtl_gene	neg_logp	gwas_collection	gwas_source
rs7439150	FGA,FGB,FGG	180.022	additional GWAS	26561523
rs2057655	FGA,FGB,FGG	72.745	additional GWAS	26561523
rs61812598	FGA,FGB,FGG	35.569	additional GWAS	26561523
rs6734238	FGA,FGB,FGG	29.174	additional GWAS	26561523
rs10157379	FGA,FGB,FGG	28.201	additional GWAS	26561523
rs9840812	FGA,FGB,FGG	26.77	additional GWAS	26561523
rs7916868	FGA,FGB,FGG	21.796	additional GWAS	26561523
rs9808651	FGA,FGB,FGG	19.602	additional GWAS	26561523
rs59104589	FGA,FGB,FGG	18.086	additional GWAS	26561523
rs715	FGA,FGB,FGG	15.367	additional GWAS	26561523
rs1892534	FGA,FGB,FGG	14.367	additional GWAS	26561523
rs11859517	FGA,FGB,FGG	13.051	additional GWAS	26561523
Chr7:17904452	FGA,FGB,FGG	12.886	additional GWAS	26561523
rs7310615	FGA,FGB,FGG	12.824	additional GWAS	26561523
rs7934094	FGA,FGB,FGG	12.602	additional GWAS	26561523
rs59950280	FGA,FGB,FGG	11.77	additional GWAS	26561523
rs367677	FGA,FGB,FGG	11.745	additional GWAS	26561523
rs12913259	FGA,FGB,FGG	11.638	additional GWAS	26561523
rs1035560	FGA,FGB,FGG	11.585	additional GWAS	26561523
rs2731439	FGA,FGB,FGG	11.06	additional GWAS	26561523
Chr7:150289652	FGA,FGB,FGG	10.032	additional GWAS	26561523
rs1800961	FGA,FGB,FGG	9.921	additional GWAS	26561523
rs75347843	FGA,FGB,FGG	9.745	additional GWAS	26561523
rs7012814	FGA,FGB,FGG	9.678	additional GWAS	26561523
rs1558643	FGA,FGB,FGG	9.509	additional GWAS	26561523
rs11230201	FGA,FGB,FGG	9.347	additional GWAS	26561523
rs11780978	FGA,FGB,FGG	9.26	additional GWAS	26561523
Chr16:28845027	FGA,FGB,FGG	9.114	additional GWAS	26561523
rs56702977	FGA,FGB,FGG	8.678	additional GWAS	26561523
rs3138493	FGA,FGB,FGG	8.602	additional GWAS	26561523
rs2710804	FGA,FGB,FGG	8.538	additional GWAS	26561523
rs71520386	FGA,FGB,FGG	8.292	additional GWAS	26561523
rs2420915	FGA,FGB,FGG	8.284	additional GWAS	26561523
rs7224737	FGA,FGB,FGG	8.215	additional GWAS	26561523
Chr12:21703935	FGA,FGB,FGG	8.076	additional GWAS	26561523
Chr3:129228166	FGA,FGB,FGG	8	additional GWAS	26561523
rs7588285	FGA,FGB,FGG	7.921	additional GWAS	26561523
rs73058052	FGA,FGB,FGG	7.699	additional GWAS	26561523
rs2250644	FGA,FGB,FGG	7.658	additional GWAS	26561523
rs62246343	FGA,FGB,FGG	7.658	additional GWAS	26561523
rs1976714	FGA,FGB,FGG	7.638	additional GWAS	26561523
rs11105306	NPPB	15.252	additional GWAS	26908625
rs198389	NPPB	14.387	additional GWAS	26908625
rs13107325	NPPB	8.585	additional GWAS	26908625
rs6921438	VEGFA	1466.131	additional GWAS	26910538
rs2375981	VEGFA	99.824	additional GWAS	26910538
rs6993770	VEGFA	59.62	additional GWAS	26910538
rs10761741	VEGFA	18.921	additional GWAS	26910538
rs114694170	VEGFA	12.167	additional GWAS	26910538
rs4782371	VEGFA	8.796	additional GWAS	26910538
rs2639990	VEGFA	7.77	additional GWAS	26910538
rs6127099	PTH	71.62	additional GWAS	27927781
rs4074995	PTH	22.481	additional GWAS	27927781
rs219779	PTH	21.051	additional GWAS	27927781
rs4443100	PTH	10.387	additional GWAS	27927781
rs73186030	PTH	8.921	additional GWAS	27927781
rs4253311	CHGA	29.469	additional GWAS	28011710
rs2731672	CHGA	18.733	additional GWAS	28011710
rs4253311	CHGB	11.815	additional GWAS	28011710
rs769449	APP	93.321	additional GWAS	28247064
rs769449	MAPT	32.276	additional GWAS	28247064
rs35055419	MAPT	10.513	additional GWAS	28247064
rs12961169	MAPT	9.291	additional GWAS	28247064
rs35055419	MAPT	9.118	additional GWAS	28247064
rs9527039	MAPT	8.225	additional GWAS	28247064
rs316341	APP	7.754	additional GWAS	28247064
rs185031519	APP	7.682	additional GWAS	28247064
rs514716	MAPT	7.532	additional GWAS	28247064
rs4129267	IL6R	264.67	additional GWAS	28369058
rs635634	SELE	219.02	additional GWAS	28369058
rs1420101	IL1RL1	131.69	additional GWAS	28369058
rs7946057	MMP3	107.921	additional GWAS	28369058
rs2153101	CHI3L1	107.13	additional GWAS	28369058
rs17368659	MMP12	96.26	additional GWAS	28369058
rs6555820	HAVCR1	86.889	additional GWAS	28369058
rs4905	IL27	79.932	additional GWAS	28369058
rs2050011	XPNPEP2	67.62	additional GWAS	28369058
rs62115757	KLK11	61.91	additional GWAS	28369058
rs139879640	IL16	61.53	additional GWAS	28369058
rs9323280	LGALS3	61.25	additional GWAS	28369058
rs8176741	TEK	49.06	additional GWAS	28369058
rs1569723	CD40	48.52	additional GWAS	28369058
rs635634	PECAM1	44.719	additional GWAS	28369058
rs12469459	MUC16	44.15	additional GWAS	28369058
rs35285321	CSTB	42.932	additional GWAS	28369058
rs72650832	CXCL6	41.21	additional GWAS	28369058
rs62625034	CCL4	40.51	additional GWAS	28369058
rs471994	MMP1	34.631	additional GWAS	28369058
rs6607368	CCL4	30.2	additional GWAS	28369058
rs111693235	CTSD	25.69	additional GWAS	28369058
rs35207557	NPPB	24.59	additional GWAS	28369058
rs3176123	THBD	23.64	additional GWAS	28369058
rs1969539	SPON1	21.821	additional GWAS	28369058
rs75649625	IL18	20.839	additional GWAS	28369058
rs344560	TNFSF14	17.53	additional GWAS	28369058
rs2188974	CCL3	17.31	additional GWAS	28369058
rs13236526	HSPB1	16.959	additional GWAS	28369058
rs142552223	TNFSF11	16.47	additional GWAS	28369058
rs7813952	TNFSF11	15.67	additional GWAS	28369058
rs1580006	ADM	14.69	additional GWAS	28369058
rs11667946	KLK6	14.47	additional GWAS	28369058
rs549596	BNP	13.759	additional GWAS	28369058
rs11150189	XPNPEP2	13.16	additional GWAS	28369058
rs79250370	TEK	12.71	additional GWAS	28369058
rs73062378	CCL4	12.35	additional GWAS	28369058
rs74544699	CXCL1	11.879	additional GWAS	28369058
rs982764	FAS	11.699	additional GWAS	28369058
rs670211	CX3CL1	11.13	additional GWAS	28369058
rs76769120	TNFRSF1B	10.87	additional GWAS	28369058
rs693918	IL18	10.62	additional GWAS	28369058
rs6469811	TNFRSF11B	10.541	additional GWAS	28369058
rs4810479	KITLG	10.35	additional GWAS	28369058
rs4672375	GAL	10.15	additional GWAS	28369058
rs8176693	THBD	9.951	additional GWAS	28369058
rs76519098	GDF15	9.951	additional GWAS	28369058
rs11599750	IL27	9.851	additional GWAS	28369058
rs140000161	PAPPA	9.839	additional GWAS	28369058
rs10947260	IL6	9.74	additional GWAS	28369058
rs2070600	AGER	9.52	additional GWAS	28369058
rs495828	F3	9.34	additional GWAS	28369058
rs200433550	F3	9.25	additional GWAS	28369058
rs241771	TNFRSF11B	9.22	additional GWAS	28369058
rs17610659	CSF1	9.19	additional GWAS	28369058
rs35166255	IL1RL1	8.932	additional GWAS	28369058
rs6993770	DKK1	8.79	additional GWAS	28369058
rs35186877	CXCL16	8.759	additional GWAS	28369058
rs56378716	MPO	8.73	additional GWAS	28369058
rs1260326	FST	8.69	additional GWAS	28369058
rs7928577	LGALS3	8.67	additional GWAS	28369058
rs2271025	AGRP	8.631	additional GWAS	28369058
rs33988101	LGALS3	8.45	additional GWAS	28369058
rs200373	CTSL1	8.37	additional GWAS	28369058
rs28601761	CHI3L1	8.3	additional GWAS	28369058
rs1169306	LGALS3	8.19	additional GWAS	28369058
rs117538444	PGF	8.18	additional GWAS	28369058
rs492602	MMP10	8.11	additional GWAS	28369058
rs116661163	REN	7.991	additional GWAS	28369058
rs7599125	IL18	7.951	additional GWAS	28369058
rs6557662	NPPB	7.83	additional GWAS	28369058
rs880949	PGF	7.801	additional GWAS	28369058
rs3195944	GDF15	7.65	additional GWAS	28369058
rs184243355	CCL3	7.65	additional GWAS	28369058
rs16873402	PDGFB	7.62	additional GWAS	28369058
rs35538083	XPNPEP2	7.51	additional GWAS	28369058
rs61598054	NGF	7.42	additional GWAS	28369058
rs75416436	NGF	7.38	additional GWAS	28369058
rs12570111	MMP1	7.33	additional GWAS	28369058
rs2075803	SIGLEC9	2141.237	additional GWAS	Biorxiv-Butterworth-2017
rs1801274	FCGR2A	2101.886	additional GWAS	Biorxiv-Butterworth-2017
rs2961544	CLEC12A	1972.051	additional GWAS	Biorxiv-Butterworth-2017
rs5498	ICAM1	1682.102	additional GWAS	Biorxiv-Butterworth-2017
rs704	MINOS1	1442.009	additional GWAS	Biorxiv-Butterworth-2017
rs6136377	SIRPA	1360.108	additional GWAS	Biorxiv-Butterworth-2017
rs2532497	TAPBPL	1296.387	additional GWAS	Biorxiv-Butterworth-2017
rs6769392	TDGF1	1295.284	additional GWAS	Biorxiv-Butterworth-2017
rs12975366	LILRB5	1275.602	additional GWAS	Biorxiv-Butterworth-2017
rs34587586	CPA4	1247.432	additional GWAS	Biorxiv-Butterworth-2017
rs4129267	IL6R	1100.131	additional GWAS	Biorxiv-Butterworth-2017
rs79716074	ACP1	1095	additional GWAS	Biorxiv-Butterworth-2017
rs12147642	MCFD2	907.638	additional GWAS	Biorxiv-Butterworth-2017
rs438811	S100A13	874.06	additional GWAS	Biorxiv-Butterworth-2017
rs3790438	LEPR	860.553	additional GWAS	Biorxiv-Butterworth-2017
rs2927608	ERAP2	857.161	additional GWAS	Biorxiv-Butterworth-2017
rs704	FKBP6	835.796	additional GWAS	Biorxiv-Butterworth-2017
rs144979264	TPSB2	818.77	additional GWAS	Biorxiv-Butterworth-2017
rs1165693	HSP90B1	794.456	additional GWAS	Biorxiv-Butterworth-2017
rs35179000	SAA1	770.921	additional GWAS	Biorxiv-Butterworth-2017
rs704	VTN	769.108	additional GWAS	Biorxiv-Butterworth-2017
rs6665610	FCGR2B	768.638	additional GWAS	Biorxiv-Butterworth-2017
rs10920578	CHI3L1	745.131	additional GWAS	Biorxiv-Butterworth-2017
rs73224660	BST1	743.721	additional GWAS	Biorxiv-Butterworth-2017
rs34908328	IL1RAP	719.081	additional GWAS	Biorxiv-Butterworth-2017
rs4806666	TMEM190	688.444	additional GWAS	Biorxiv-Butterworth-2017
rs17121881	AMICA1	666.26	additional GWAS	Biorxiv-Butterworth-2017
rs429358	TBCA	645.284	additional GWAS	Biorxiv-Butterworth-2017
rs4683234	PDGFRL	599.367	additional GWAS	Biorxiv-Butterworth-2017
rs6234	PCSK1	598.921	additional GWAS	Biorxiv-Butterworth-2017
rs186268843	DEPP	592	additional GWAS	Biorxiv-Butterworth-2017
rs10993994	MSMB	588.377	additional GWAS	Biorxiv-Butterworth-2017
rs7627326	CRELD1	555.77	additional GWAS	Biorxiv-Butterworth-2017
rs61696028	RARRES1	549.796	additional GWAS	Biorxiv-Butterworth-2017
rs11871061	ENPP7	530.31	additional GWAS	Biorxiv-Butterworth-2017
rs386056	LILRB2	529.284	additional GWAS	Biorxiv-Butterworth-2017
rs80268500	MANEA	517.745	additional GWAS	Biorxiv-Butterworth-2017
rs4525	CAMK1	517.409	additional GWAS	Biorxiv-Butterworth-2017
rs12147642	AXIN2	516.602	additional GWAS	Biorxiv-Butterworth-2017
rs3749117	PLA2R1	499.237	additional GWAS	Biorxiv-Butterworth-2017
rs10509554	LIPN	498.18	additional GWAS	Biorxiv-Butterworth-2017
rs704	GEM	496.252	additional GWAS	Biorxiv-Butterworth-2017
rs1138545	PRELP	488.77	additional GWAS	Biorxiv-Butterworth-2017
rs7412	VPS29	483.481	additional GWAS	Biorxiv-Butterworth-2017
rs397780227	IL17RA	482.252	additional GWAS	Biorxiv-Butterworth-2017
rs7899547	MBL2	478.041	additional GWAS	Biorxiv-Butterworth-2017
rs1042445	PCDH10	474.959	additional GWAS	Biorxiv-Butterworth-2017
rs2304058	PDGFRB	457.638	additional GWAS	Biorxiv-Butterworth-2017
rs112689088	CCL16	449.569	additional GWAS	Biorxiv-Butterworth-2017
rs12459419	CD33	444.041	additional GWAS	Biorxiv-Butterworth-2017
rs2282326	GSTO1	436.638	additional GWAS	Biorxiv-Butterworth-2017
rs872583	CHIT1	431.959	additional GWAS	Biorxiv-Butterworth-2017
rs17329170	SEMA5A	424.886	additional GWAS	Biorxiv-Butterworth-2017
rs429358	LRRN1	417.538	additional GWAS	Biorxiv-Butterworth-2017
rs71354995	SPINT2	415.131	additional GWAS	Biorxiv-Butterworth-2017
rs854624	CCL15	410.585	additional GWAS	Biorxiv-Butterworth-2017
rs528298	ANAPC7	400.456	additional GWAS	Biorxiv-Butterworth-2017
rs11581248	SLAMF7	396.699	additional GWAS	Biorxiv-Butterworth-2017
rs2127870	FUT8	395.009	additional GWAS	Biorxiv-Butterworth-2017
rs10801553	NDUFS4	393.252	additional GWAS	Biorxiv-Butterworth-2017
rs10179654	IL1RL1	390.523	additional GWAS	Biorxiv-Butterworth-2017
rs11622942	RNASE6	390.237	additional GWAS	Biorxiv-Butterworth-2017
rs704	GDF5	390.149	additional GWAS	Biorxiv-Butterworth-2017
rs2461286	HBZ	389.022	additional GWAS	Biorxiv-Butterworth-2017
rs72934623	ST3GAL6	384.469	additional GWAS	Biorxiv-Butterworth-2017
rs11573156	PLA2G2A	383.678	additional GWAS	Biorxiv-Butterworth-2017
rs2231495	CECR1	369.854	additional GWAS	Biorxiv-Butterworth-2017
rs5167	VARS	369.18	additional GWAS	Biorxiv-Butterworth-2017
rs3826667	SIGLEC12	365.495	additional GWAS	Biorxiv-Butterworth-2017
rs12483377	NPC2	363.638	additional GWAS	Biorxiv-Butterworth-2017
rs8192917	GZMB	351.237	additional GWAS	Biorxiv-Butterworth-2017
rs12980151	KIR2DL5A	350.102	additional GWAS	Biorxiv-Butterworth-2017
rs2114511	LILRB1	336.022	additional GWAS	Biorxiv-Butterworth-2017
rs11582663	FCRL4	321.538	additional GWAS	Biorxiv-Butterworth-2017
rs17482078	ERAP1	320.959	additional GWAS	Biorxiv-Butterworth-2017
rs738875	SCP2D1	311.886	additional GWAS	Biorxiv-Butterworth-2017
rs1042779	SIGIRR	311.721	additional GWAS	Biorxiv-Butterworth-2017
rs1106476	SIGLEC14	308.6575773	additional GWAS	Biorxiv-Butterworth-2017
rs7519758	LRRC19	306.854	additional GWAS	Biorxiv-Butterworth-2017
rs1047153	ENPP5	298.102	additional GWAS	Biorxiv-Butterworth-2017
rs1106476	RPN1	292.921	additional GWAS	Biorxiv-Butterworth-2017
rs140647145	SEMA4D	291.796	additional GWAS	Biorxiv-Butterworth-2017
rs1042779	JAKMIP3	284.469	additional GWAS	Biorxiv-Butterworth-2017
rs6542680	COLEC11	284.319	additional GWAS	Biorxiv-Butterworth-2017
rs12614	MMP8	283	additional GWAS	Biorxiv-Butterworth-2017
rs28385609	SMPDL3A	281.678	additional GWAS	Biorxiv-Butterworth-2017
rs35361042	LILRA6	277.678	additional GWAS	Biorxiv-Butterworth-2017
rs1420106	IL18R1	272.959	additional GWAS	Biorxiv-Butterworth-2017
rs4233450	PTGFRN	272.699	additional GWAS	Biorxiv-Butterworth-2017
rs708686	FUT3	272.509	additional GWAS	Biorxiv-Butterworth-2017
rs33944729	TST	271.495	additional GWAS	Biorxiv-Butterworth-2017
rs528298	MLL2	267.432	additional GWAS	Biorxiv-Butterworth-2017
rs3757607	SEMA3E	263.328	additional GWAS	Biorxiv-Butterworth-2017
rs281439	ICAM5	261.921	additional GWAS	Biorxiv-Butterworth-2017
rs1028997	CBR3	258.602	additional GWAS	Biorxiv-Butterworth-2017
rs4820885	TCN2	255.409	additional GWAS	Biorxiv-Butterworth-2017
rs1001096	ART4	253.959	additional GWAS	Biorxiv-Butterworth-2017
rs2604877	MIA	252.602	additional GWAS	Biorxiv-Butterworth-2017
rs5167	MAPKAPK5	248.585	additional GWAS	Biorxiv-Butterworth-2017
rs367804438	KCNE2	247.06	additional GWAS	Biorxiv-Butterworth-2017
rs11854180	GLCE	244.119	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ANXA2	243.187	additional GWAS	Biorxiv-Butterworth-2017
rs34593439	CTSH	240.569	additional GWAS	Biorxiv-Butterworth-2017
rs41552714	LRPAP1	239.854	additional GWAS	Biorxiv-Butterworth-2017
rs10852587	CBLN1	239.149	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	CEP57	238.854	additional GWAS	Biorxiv-Butterworth-2017
rs35026308	IL27RA	238.409	additional GWAS	Biorxiv-Butterworth-2017
rs2228243	MAP2K4	236.854	additional GWAS	Biorxiv-Butterworth-2017
rs6809081	APOL1	236.387	additional GWAS	Biorxiv-Butterworth-2017
rs6921438	VEGFA	233.77	additional GWAS	Biorxiv-Butterworth-2017
rs342702	GPC5	232.319	additional GWAS	Biorxiv-Butterworth-2017
rs8178854	DHX8	231.638	additional GWAS	Biorxiv-Butterworth-2017
rs532540191	KIAA2013	231.268	additional GWAS	Biorxiv-Butterworth-2017
rs438811	CUZD1	229.456	additional GWAS	Biorxiv-Butterworth-2017
rs4988235	LCT	221.824	additional GWAS	Biorxiv-Butterworth-2017
rs6809081	HAAO	221.456	additional GWAS	Biorxiv-Butterworth-2017
rs217184	HP	215.886	additional GWAS	Biorxiv-Butterworth-2017
rs10935473	FLT4	214.959	additional GWAS	Biorxiv-Butterworth-2017
rs10136766	CEACAM1	214.886	additional GWAS	Biorxiv-Butterworth-2017
rs3848788	SIRPB1	212.921	additional GWAS	Biorxiv-Butterworth-2017
rs646776	GRN	210.108	additional GWAS	Biorxiv-Butterworth-2017
rs9858428	TXNDC12	208	additional GWAS	Biorxiv-Butterworth-2017
rs7539005	GLT8D1	205.081	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	C5orf38	204.328	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	SIGLEC10	199.721	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	MMRN2	198.959	additional GWAS	Biorxiv-Butterworth-2017
rs2304456	PARP16	198.538	additional GWAS	Biorxiv-Butterworth-2017
rs62875162	ADGRF5	196.77	additional GWAS	Biorxiv-Butterworth-2017
rs704	RNMTL1	194	additional GWAS	Biorxiv-Butterworth-2017
rs2508490	IL25	193.229	additional GWAS	Biorxiv-Butterworth-2017
rs536720776	CRHBP	192.721	additional GWAS	Biorxiv-Butterworth-2017
rs704	COPS2	190.959	additional GWAS	Biorxiv-Butterworth-2017
rs663887	DRGX	190.319	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	TREML4	189.602	additional GWAS	Biorxiv-Butterworth-2017
rs59765118	CST7	189.092	additional GWAS	Biorxiv-Butterworth-2017
rs12151621	GNLY	188.131	additional GWAS	Biorxiv-Butterworth-2017
rs1048328	KLK11	185.237	additional GWAS	Biorxiv-Butterworth-2017
rs112689088	CST8	185.208	additional GWAS	Biorxiv-Butterworth-2017
rs3765963	CA6	184.387	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	SHISA3	184.222	additional GWAS	Biorxiv-Butterworth-2017
rs704	MAPKAPK5	180.208	additional GWAS	Biorxiv-Butterworth-2017
rs704	NDUFB4	179.444	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SUMO3	179.187	additional GWAS	Biorxiv-Butterworth-2017
rs2115691	CXCL1	177.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	UBE2I	173.108	additional GWAS	Biorxiv-Butterworth-2017
rs697449	OBP2B	171.77	additional GWAS	Biorxiv-Butterworth-2017
rs1042779	ITIH1	170.824	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	RBP7	170.481	additional GWAS	Biorxiv-Butterworth-2017
rs1926446	PIR	169.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	RPS7	169.921	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	C9orf89	167.328	additional GWAS	Biorxiv-Butterworth-2017
rs1138545	TNC	166.553	additional GWAS	Biorxiv-Butterworth-2017
rs7225465	WFIKKN2	165.032	additional GWAS	Biorxiv-Butterworth-2017
rs2228243	LRPPRC	164.678	additional GWAS	Biorxiv-Butterworth-2017
rs704	ASAP2	163.886	additional GWAS	Biorxiv-Butterworth-2017
rs2355433	PSG3	162.796	additional GWAS	Biorxiv-Butterworth-2017
rs941591	SERPINA10	162.796	additional GWAS	Biorxiv-Butterworth-2017
rs1138888	PSG4	162.268	additional GWAS	Biorxiv-Butterworth-2017
rs629849	IGF2R	162.022	additional GWAS	Biorxiv-Butterworth-2017
rs3079633	ICAM4	159.745	additional GWAS	Biorxiv-Butterworth-2017
rs3820897	IL19	157.509	additional GWAS	Biorxiv-Butterworth-2017
rs8051363	CTRB1	156.796	additional GWAS	Biorxiv-Butterworth-2017
rs6437234	SOCS3	155.678	additional GWAS	Biorxiv-Butterworth-2017
rs77944668	NQO1	153.796	additional GWAS	Biorxiv-Butterworth-2017
rs13093385	PRDM1	153.009	additional GWAS	Biorxiv-Butterworth-2017
rs8176746	CDH5	152.921	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MPG	151.585	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SFTPD	149.481	additional GWAS	Biorxiv-Butterworth-2017
rs79785970	CGA,CGB	148	additional GWAS	Biorxiv-Butterworth-2017
rs216311	DHFR	147.585	additional GWAS	Biorxiv-Butterworth-2017
rs61077924	GRAMD1C	147.469	additional GWAS	Biorxiv-Butterworth-2017
rs429358	CTF1	147.456	additional GWAS	Biorxiv-Butterworth-2017
rs3822020	IDUA	147.143	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	CHCHD10	145.959	additional GWAS	Biorxiv-Butterworth-2017
rs12481228	CPNE1	145.745	additional GWAS	Biorxiv-Butterworth-2017
rs376891043	KIR2DS2	145.398	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	ASPRV1	145.252	additional GWAS	Biorxiv-Butterworth-2017
rs1138545	POFUT2	145.208	additional GWAS	Biorxiv-Butterworth-2017
rs6874178	HAVCR2	145	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	PIN4	144.699	additional GWAS	Biorxiv-Butterworth-2017
rs4007475	FAM177A1	143.921	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	NHP2L1	142.921	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	HMGB3	141.051	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	SCGB1C1	140.456	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	GABARAPL1	140	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	APEX1	139.77	additional GWAS	Biorxiv-Butterworth-2017
rs1799895	SOD3	139.456	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	STMN2	139	additional GWAS	Biorxiv-Butterworth-2017
rs62143194	LRP1B	138.796	additional GWAS	Biorxiv-Butterworth-2017
rs478328	CRISP2	138.377	additional GWAS	Biorxiv-Butterworth-2017
rs7412	PSME1	136.367	additional GWAS	Biorxiv-Butterworth-2017
rs565102642	ASIP	135.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	EDF1	135.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	AGFG1	135.509	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	S100A12	135.367	additional GWAS	Biorxiv-Butterworth-2017
rs8112351	EMC4	135	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	HNRNPDL	134.26	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	HNRNPA2B1	134.149	additional GWAS	Biorxiv-Butterworth-2017
rs1432688	SPINK6	134.119	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	GC	134.108	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	RBM3	133.959	additional GWAS	Biorxiv-Butterworth-2017
