snp	pqtl_gene	pqtl_entrez_id	neg_log10_p	gwas_source
rs4443100	PTH	5741	10.387	27927781
rs73186030	PTH	5741	8.921	27927781
rs4253311	CHGA	1113	29.469	28011710
rs2731672	CHGA	1113	18.733	28011710
rs4253311	CHGB	1114	11.815	28011710
rs769449	APP	351	93.321	28247064
rs769449	MAPT	4137	32.276	28247064
rs35055419	MAPT	4137	10.513	28247064
rs12961169	MAPT	4137	9.291	28247064
rs35055419	MAPT	4137	9.118	28247064
rs9527039	MAPT	4137	8.225	28247064
rs316341	APP	351	7.754	28247064
rs185031519	APP	351	7.682	28247064
rs514716	MAPT	4137	7.532	28247064
rs4129267	IL6R	3570	264.67	28369058
rs635634	SELE	6401	219.02	28369058
rs1420101	IL1RL1	9173	131.69	28369058
rs7946057	MMP3	4314	107.921	28369058
rs2153101	CHI3L1	1116	107.13	28369058
rs17368659	MMP12	4321	96.26	28369058
rs6555820	HAVCR1	26762	86.889	28369058
rs4905	IL27	246778	79.932	28369058
rs2050011	XPNPEP2	7512	67.62	28369058
rs62115757	KLK11	11012	61.91	28369058
rs139879640	IL16	3603	61.53	28369058
rs9323280	LGALS3	3958	61.25	28369058
rs8176741	TEK	7010	49.06	28369058
rs1569723	CD40	958	48.52	28369058
rs635634	PECAM1	5175	44.719	28369058
rs12469459	MUC16	94025	44.15	28369058
rs35285321	CSTB	1476	42.932	28369058
rs72650832	CXCL6	6372	41.21	28369058
rs62625034	CCL4	6351	40.51	28369058
rs471994	MMP1	4312	34.631	28369058
rs6607368	CCL4	6351	30.2	28369058
rs111693235	CTSD	1509	25.69	28369058
rs35207557	NPPB	4879	24.59	28369058
rs3176123	THBD	7056	23.64	28369058
rs1969539	SPON1	10418	21.821	28369058
rs75649625	IL18	3606	20.839	28369058
rs344560	TNFSF14	8740	17.53	28369058
rs2188974	CCL3	6348	17.31	28369058
rs13236526	HSPB1	3315	16.959	28369058
rs142552223	TNFSF11	8600	16.47	28369058
rs7813952	TNFSF11	8600	15.67	28369058
rs1580006	ADM	133	14.69	28369058
rs11667946	KLK6	5653	14.47	28369058
rs549596	BNP		13.759	28369058
rs11150189	XPNPEP2	7512	13.16	28369058
rs79250370	TEK	7010	12.71	28369058
rs73062378	CCL4	6351	12.35	28369058
rs74544699	CXCL1	2919	11.879	28369058
rs982764	FAS	355	11.699	28369058
rs670211	CX3CL1	6376	11.13	28369058
rs76769120	TNFRSF1B	7133	10.87	28369058
rs693918	IL18	3606	10.62	28369058
rs6469811	TNFRSF11B	4982	10.541	28369058
rs4810479	KITLG	4254	10.35	28369058
rs4672375	GAL	51083	10.15	28369058
rs8176693	THBD	7056	9.951	28369058
rs76519098	GDF15	9518	9.951	28369058
rs11599750	IL27	246778	9.851	28369058
rs140000161	PAPPA	5069	9.839	28369058
rs10947260	IL6	3569	9.74	28369058
rs2070600	AGER	177	9.52	28369058
rs495828	F3	2152	9.34	28369058
rs200433550	F3	2152	9.25	28369058
rs241771	TNFRSF11B	4982	9.22	28369058
rs17610659	CSF1	1435	9.19	28369058
rs35166255	IL1RL1	9173	8.932	28369058
rs6993770	DKK1	22943	8.79	28369058
rs35186877	CXCL16	58191	8.759	28369058
rs56378716	MPO	4353	8.73	28369058
rs1260326	FST	10468	8.69	28369058
rs7928577	LGALS3	3958	8.67	28369058
rs2271025	AGRP	181	8.631	28369058
rs33988101	LGALS3	3958	8.45	28369058
rs200373	CTSL1		8.37	28369058
rs28601761	CHI3L1	1116	8.3	28369058
rs1169306	LGALS3	3958	8.19	28369058
rs117538444	PGF	5228	8.18	28369058
rs492602	MMP10	4319	8.11	28369058
rs116661163	REN	5972	7.991	28369058
rs7599125	IL18	3606	7.951	28369058
rs6557662	NPPB	4879	7.83	28369058
rs880949	PGF	5228	7.801	28369058
rs3195944	GDF15	9518	7.65	28369058
rs184243355	CCL3	6348	7.65	28369058
rs16873402	PDGFB	5155	7.62	28369058
rs35538083	XPNPEP2	7512	7.51	28369058
rs61598054	NGF	4803	7.42	28369058
rs75416436	NGF	4803	7.38	28369058
rs12570111	MMP1	4312	7.33	28369058
rs2075803	SIGLEC9	27180	2141.237	10.1101/134551
rs1801274	FCGR2A	2212,9103	2101.886	10.1101/134551
rs2961544	CLEC12A	160364	1972.051	10.1101/134551
rs5498	ICAM1	3383	1682.102	10.1101/134551
rs704	MINOS1	440574	1442.009	10.1101/134551
rs6136377	SIRPA	140885	1360.108	10.1101/134551
rs2532497	TAPBPL	55080	1296.387	10.1101/134551
rs6769392	TDGF1	6997	1295.284	10.1101/134551
rs12975366	LILRB5	10990	1275.602	10.1101/134551
rs34587586	CPA4	51200	1247.432	10.1101/134551
rs4129267	IL6R	3570	1100.131	10.1101/134551
rs79716074	ACP1	52	1095	10.1101/134551
rs12147642	MCFD2	90411	907.638	10.1101/134551
rs438811	S100A13	6284	874.06	10.1101/134551
rs3790438	LEPR	3953	860.553	10.1101/134551
rs2927608	ERAP2	64167	857.161	10.1101/134551
rs704	FKBP6	8468	835.796	10.1101/134551
rs144979264	TPSB2	64499	818.77	10.1101/134551
rs1165693	HSP90B1	7184	794.456	10.1101/134551
rs35179000	SAA1	6288	770.921	10.1101/134551
rs704	VTN	7448	769.108	10.1101/134551
rs6665610	FCGR2B	2213	768.638	10.1101/134551
rs10920578	CHI3L1	1116	745.131	10.1101/134551
rs73224660	BST1	683	743.721	10.1101/134551
rs34908328	IL1RAP	3556	719.081	10.1101/134551
rs4806666	TMEM190	147744	688.444	10.1101/134551
rs17121881	AMICA1		666.26	10.1101/134551
rs429358	TBCA	6902	645.284	10.1101/134551
rs4683234	PDGFRL	5157	599.367	10.1101/134551
rs6234	PCSK1	5122	598.921	10.1101/134551
rs186268843	DEPP		592	10.1101/134551
rs10993994	MSMB	4477	588.377	10.1101/134551
rs7627326	CRELD1	78987	555.77	10.1101/134551
rs61696028	RARRES1	5918	549.796	10.1101/134551
rs11871061	ENPP7	339221	530.31	10.1101/134551
rs386056	LILRB2	10288	529.284	10.1101/134551
rs80268500	MANEA	79694	517.745	10.1101/134551
rs4525	CAMK1	8536	517.409	10.1101/134551
rs12147642	AXIN2	8313	516.602	10.1101/134551
rs3749117	PLA2R1	22925	499.237	10.1101/134551
rs10509554	LIPN	643418	498.18	10.1101/134551
rs704	GEM	2669	496.252	10.1101/134551
rs1138545	PRELP	5549	488.77	10.1101/134551
rs7412	VPS29	51699	483.481	10.1101/134551
rs397780227	IL17RA	23765	482.252	10.1101/134551
rs7899547	MBL2	4153	478.041	10.1101/134551
rs1042445	PCDH10	57575	474.959	10.1101/134551
rs2304058	PDGFRB	5159	457.638	10.1101/134551
rs112689088	CCL16	6360	449.569	10.1101/134551
rs12459419	CD33	945	444.041	10.1101/134551
rs2282326	GSTO1	9446	436.638	10.1101/134551
rs872583	CHIT1	1118	431.959	10.1101/134551
rs17329170	SEMA5A	9037	424.886	10.1101/134551
rs429358	LRRN1	57633	417.538	10.1101/134551
rs71354995	SPINT2	10653	415.131	10.1101/134551
rs854624	CCL15	6359	410.585	10.1101/134551
rs528298	ANAPC7	51434	400.456	10.1101/134551
rs11581248	SLAMF7	57823	396.699	10.1101/134551
rs2127870	FUT8	2530	395.009	10.1101/134551
rs10801553	NDUFS4	4724	393.252	10.1101/134551
rs10179654	IL1RL1	9173	390.523	10.1101/134551
rs11622942	RNASE6	6039	390.237	10.1101/134551
rs704	GDF5	8200	390.149	10.1101/134551
rs2461286	HBZ	3050	389.022	10.1101/134551
rs72934623	ST3GAL6	10402	384.469	10.1101/134551
rs11573156	PLA2G2A	5320	383.678	10.1101/134551
rs2231495	CECR1		369.854	10.1101/134551
rs5167	VARS	7407	369.18	10.1101/134551
rs3826667	SIGLEC12	89858	365.495	10.1101/134551
rs12483377	NPC2	10577	363.638	10.1101/134551
rs8192917	GZMB	3002	351.237	10.1101/134551
rs12980151	KIR2DL5A	57292	350.102	10.1101/134551
rs2114511	LILRB1	10859	336.022	10.1101/134551
rs11582663	FCRL4	83417	321.538	10.1101/134551
rs17482078	ERAP1	51752	320.959	10.1101/134551
rs738875	SCP2D1	140856	311.886	10.1101/134551
rs1042779	SIGIRR	59307	311.721	10.1101/134551
rs1106476	SIGLEC14	100049587	308.6575773	10.1101/134551
rs7519758	LRRC19	64922	306.854	10.1101/134551
rs1047153	ENPP5	59084	298.102	10.1101/134551
rs1106476	RPN1	6184	292.921	10.1101/134551
rs140647145	SEMA4D	10507	291.796	10.1101/134551
rs1042779	JAKMIP3	282973	284.469	10.1101/134551
rs6542680	COLEC11	78989	284.319	10.1101/134551
rs12614	MMP8	4317	283	10.1101/134551
rs28385609	SMPDL3A	10924	281.678	10.1101/134551
rs35361042	LILRA6	79168	277.678	10.1101/134551
rs1420106	IL18R1	8809	272.959	10.1101/134551
rs4233450	PTGFRN	5738	272.699	10.1101/134551
rs708686	FUT3	2525	272.509	10.1101/134551
rs33944729	TST	7263	271.495	10.1101/134551
rs528298	MLL2		267.432	10.1101/134551
rs3757607	SEMA3E	9723	263.328	10.1101/134551
rs281439	ICAM5	7087	261.921	10.1101/134551
rs1028997	CBR3	874	258.602	10.1101/134551
rs4820885	TCN2	6948	255.409	10.1101/134551
rs1001096	ART4	420	253.959	10.1101/134551
rs2604877	MIA	8190	252.602	10.1101/134551
rs5167	MAPKAPK5	8550	248.585	10.1101/134551
rs367804438	KCNE2	9992	247.06	10.1101/134551
rs11854180	GLCE	26035	244.119	10.1101/134551
rs62143206	ANXA2	302	243.187	10.1101/134551
rs34593439	CTSH	1512	240.569	10.1101/134551
rs41552714	LRPAP1	4043	239.854	10.1101/134551
rs10852587	CBLN1	869	239.149	10.1101/134551
rs1065853	CEP57	9702	238.854	10.1101/134551
rs35026308	IL27RA	9466	238.409	10.1101/134551
rs2228243	MAP2K4	6416	236.854	10.1101/134551
rs6809081	APOL1	8542	236.387	10.1101/134551
rs6921438	VEGFA	7422	233.77	10.1101/134551
rs342702	GPC5	2262	232.319	10.1101/134551
rs8178854	DHX8	1659	231.638	10.1101/134551
rs532540191	KIAA2013	90231,102724984	231.268	10.1101/134551
rs438811	CUZD1	50624	229.456	10.1101/134551
rs4988235	LCT	3938	221.824	10.1101/134551
rs6809081	HAAO	23498	221.456	10.1101/134551
rs217184	HP	3240	215.886	10.1101/134551
rs10935473	FLT4	2324	214.959	10.1101/134551
rs10136766	CEACAM1	634	214.886	10.1101/134551
rs3848788	SIRPB1	10326	212.921	10.1101/134551
rs646776	GRN	2896	210.108	10.1101/134551
rs9858428	TXNDC12	51060	208	10.1101/134551
rs7539005	GLT8D1	55830	205.081	10.1101/134551
rs1065853	C5orf38	153571	204.328	10.1101/134551
rs58452280	SIGLEC10	89790	199.721	10.1101/134551
rs58452280	MMRN2	79812	198.959	10.1101/134551
rs2304456	PARP16	54956	198.538	10.1101/134551
rs62875162	ADGRF5	221395	196.77	10.1101/134551
rs704	RNMTL1		194	10.1101/134551
rs2508490	IL25	64806	193.229	10.1101/134551
rs536720776	CRHBP	1393	192.721	10.1101/134551
rs704	COPS2	9318	190.959	10.1101/134551
rs663887	DRGX	644168	190.319	10.1101/134551
rs1071803	TREML4	285852	189.602	10.1101/134551
rs59765118	CST7	8530	189.092	10.1101/134551
rs12151621	GNLY	10578	188.131	10.1101/134551
rs1048328	KLK11	11012	185.237	10.1101/134551
rs112689088	CST8	10047	185.208	10.1101/134551
rs3765963	CA6	765	184.387	10.1101/134551
rs1071803	SHISA3	152573	184.222	10.1101/134551
rs704	MAPKAPK5	8550	180.208	10.1101/134551
rs704	NDUFB4	4710	179.444	10.1101/134551
rs62143206	SUMO3	6612	179.187	10.1101/134551
rs2115691	CXCL1	2919	177.699	10.1101/134551
rs62143206	UBE2I	7329	173.108	10.1101/134551
rs697449	OBP2B	29989	171.77	10.1101/134551
rs1042779	ITIH1	3697	170.824	10.1101/134551
rs62143206	RBP7	116362	170.481	10.1101/134551
rs1926446	PIR	8544	169.959	10.1101/134551
rs62143206	RPS7	6201	169.921	10.1101/134551
rs4632248	C9orf89		167.328	10.1101/134551
rs1138545	TNC	3371	166.553	10.1101/134551
rs7225465	WFIKKN2	124857	165.032	10.1101/134551
rs2228243	LRPPRC	10128	164.678	10.1101/134551
rs704	ASAP2	8853	163.886	10.1101/134551
rs2355433	PSG3	5671	162.796	10.1101/134551
rs941591	SERPINA10	51156	162.796	10.1101/134551
rs1138888	PSG4	5672	162.268	10.1101/134551
rs629849	IGF2R	3482	162.022	10.1101/134551
rs3079633	ICAM4	3386	159.745	10.1101/134551
rs3820897	IL19	29949	157.509	10.1101/134551
rs8051363	CTRB1	1504	156.796	10.1101/134551
rs6437234	SOCS3	9021	155.678	10.1101/134551
rs77944668	NQO1	1728	153.796	10.1101/134551
rs13093385	PRDM1	639	153.009	10.1101/134551
rs8176746	CDH5	1003	152.921	10.1101/134551
rs62143198	MPG	4350	151.585	10.1101/134551
rs62143206	SFTPD	6441	149.481	10.1101/134551
rs79785970	CGA,CGB	1081	148	10.1101/134551
rs216311	DHFR	1719	147.585	10.1101/134551
rs61077924	GRAMD1C	54762	147.469	10.1101/134551
rs429358	CTF1	1489	147.456	10.1101/134551
rs3822020	IDUA	3425	147.143	10.1101/134551
rs34436714	CHCHD10	400916	145.959	10.1101/134551
rs12481228	CPNE1	8904	145.745	10.1101/134551
rs376891043	KIR2DS2	100132285	145.398	10.1101/134551
rs58452280	ASPRV1	151516	145.252	10.1101/134551
rs1138545	POFUT2	23275	145.208	10.1101/134551
rs6874178	HAVCR2	84868	145	10.1101/134551
rs62143206	PIN4	5303	144.699	10.1101/134551
rs4007475	FAM177A1	283635	143.921	10.1101/134551
rs4632248	NHP2L1		142.921	10.1101/134551
rs4632248	HMGB3	3149	141.051	10.1101/134551
rs1071803	SCGB1C1	147199	140.456	10.1101/134551
rs4632248	GABARAPL1	23710	140	10.1101/134551
rs62143206	APEX1	328	139.77	10.1101/134551
rs1799895	SOD3	6649	139.456	10.1101/134551
rs62143206	STMN2	11075	139	10.1101/134551
rs62143194	LRP1B	53353	138.796	10.1101/134551
rs478328	CRISP2	7180	138.377	10.1101/134551
rs7412	PSME1	5720	136.367	10.1101/134551
rs565102642	ASIP	434	135.886	10.1101/134551
rs62143206	EDF1	8721	135.77	10.1101/134551
rs62143198	AGFG1	3267	135.509	10.1101/134551
rs62143206	S100A12	6283	135.367	10.1101/134551
rs8112351	EMC4	51234	135	10.1101/134551
rs62143198	HNRNPDL	9987	134.26	10.1101/134551
rs62143206	HNRNPA2B1	3181	134.149	10.1101/134551
rs1432688	SPINK6	404203	134.119	10.1101/134551
rs58452280	GC	2638	134.108	10.1101/134551
rs62143198	RBM3	5935	133.959	10.1101/134551
rs2276543	LAMC2	3918	132.357	10.1101/134551
rs35094235	AHSG	197	131.699	10.1101/134551
rs62143206	HMGB1	3146	131.62	10.1101/134551
rs8176743	TIE1	7075	131.523	10.1101/134551
rs1042445	HMGN1	3150	130.959	10.1101/134551
rs62143198	CLINT1	9685	130.31	10.1101/134551
rs1801020	SOD2	6648,100129518	127.292	10.1101/134551
rs61751507	APOL1	8542	126.432	10.1101/134551
rs6017591	SPINT3	10816	126.222	10.1101/134551
rs34603401	H6PD	9563	126	10.1101/134551
rs72688441	AKR1A1	10327	125.921	10.1101/134551
rs704	FUT9	10690	125.921	10.1101/134551
rs4632248	SH3BP2	6452	125.699	10.1101/134551
rs62143206	ITPRIPL1	150771	125.071	10.1101/134551
rs62143198	RMDN1	51115	123.886	10.1101/134551
rs10740617	ASAH2	56624	123.699	10.1101/134551
rs62143206	RPS4X	6191	123.678	10.1101/134551
rs2127870	HTATIP2	10553	122.602	10.1101/134551
rs4632248	DNAJB14	79982	122.31	10.1101/134551
rs62143206	MAPK13	5603	121	10.1101/134551
rs4632248	NCF2	4688	120.959	10.1101/134551
rs62143198	ARHGDIB	397	120.959	10.1101/134551
rs62143206	DDX39B	7919	120.824	10.1101/134551
rs11555096	FAH	2184	120.721	10.1101/134551
rs62143206	ARHGAP25	9938	120.481	10.1101/134551
rs35662416	PDGFRA	5156	120.42	10.1101/134551
rs7412	VIMP		119.745	10.1101/134551
rs62143197	CIRBP	1153	119.387	10.1101/134551
rs62143198	ADRBK1		119.337	10.1101/134551
rs62143206	SMC3	9126	119.252	10.1101/134551
rs557663478	B3GNT8	374907	118.959	10.1101/134551
rs11229075	SERPING1	710	118.959	10.1101/134551
rs1065853	CRYZL1	9946	118.921	10.1101/134551
rs2569491	KLK14	43847	118.444	10.1101/134551
rs778809	FUT5	2527	117.886	10.1101/134551
rs289828	TNFAIP6	7130	117.26	10.1101/134551
rs36138811	MANSC4	100287284	116.131	10.1101/134551
rs45531831	TNXB	7148	115.602	10.1101/134551
rs62143206	AIF1	199	115.469	10.1101/134551
rs28573806	PLXNB2	23654	115.456	10.1101/134551
rs73554000	CD177	57126	115.357	10.1101/134551
rs62143198	MTHFS	10588	115.268	10.1101/134551
rs11849582	ICOS	29851	114.032	10.1101/134551
rs532540191	MAPKAPK3	7867	113.854	10.1101/134551
rs646776	C1QTNF1	114897	113.745	10.1101/134551
rs41316748	USP25	29761	113.699	10.1101/134551
rs62143206	HNRNPAB	3182	113.357	10.1101/134551
rs74959615	CCL25	6370	113.284	10.1101/134551
rs11849582	RNF165	494470	113.222	10.1101/134551
rs62143198	EIF1AD	84285	112.721	10.1101/134551
rs227370	MANBA	4126	112.108	10.1101/134551
rs7528684	FCRL3	115352	111.854	10.1101/134551
rs11230521	TMEM132A	54972	111.699	10.1101/134551
rs759819	LILRA5	353514	110.602	10.1101/134551
rs58452280	B3GNT1		110.357	10.1101/134551
rs28381684	MMP12	4321	110.292	10.1101/134551
rs62143206	MAP3K3	4215	110.032	10.1101/134551
rs601338	FAM3D	131177	110.032	10.1101/134551
rs62143198	IFI16	3428	110	10.1101/134551
rs62143206	IRF2	3660	109.721	10.1101/134551
rs10418046	SIGLEC11	114132	109.678	10.1101/134551
rs2278668	PDIA5	10954	109.398	10.1101/134551
rs10139745	SERPINA4	5267	109.31	10.1101/134551
rs10425544	PRTN3	5657	109.081	10.1101/134551
rs12710327	TMED10	10972	108.959	10.1101/134551
rs28577986	SUSD2	56241	108.409	10.1101/134551
rs28929474	MRPL33	9553	108.367	10.1101/134551
rs9567617	CALB1	793	108.31	10.1101/134551
rs4632248	TMPO	7112	107.721	10.1101/134551
rs62143206	STK17B	9262	107.585	10.1101/134551
rs11558819	ICOSLG	23308	107.456	10.1101/134551
rs1071803	AMBN	258	107.444	10.1101/134551
rs62143198	PPIA	5478	107.292	10.1101/134551
rs2071533	CNTN2	6900	107.161	10.1101/134551
rs6586145	FAM174A	345757	106.921	10.1101/134551
rs11103602	FCN1	NA	105.824	10.1101/134551
rs12881760	SEMG2	6407	105.721	10.1101/134551
rs62143206	EWSR1	2130	105.456	10.1101/134551
rs10418046	SPG21	51324	104.824	10.1101/134551
rs7681694	SPARCL1	8404	104.569	10.1101/134551
rs6136	SELP	6403	104.523	10.1101/134551
rs62143198	DAPK2	23604	104.495	10.1101/134551
rs62143206	SSU72	29101	104.481	10.1101/134551
rs62143198	MAPK3	5595	104.432	10.1101/134551
rs2232613	COX8A	1351	103.886	10.1101/134551
rs62143198	SNRPA	6626	103.699	10.1101/134551
rs9903158	CCL14	6358	103.456	10.1101/134551
rs10424405	RBM23	55147	103.409	10.1101/134551
rs62143198	TIRAP	114609	103.319	10.1101/134551
rs4632248	STAT6	6778	103.009	10.1101/134551
rs62143206	PDCD5	9141	103	10.1101/134551
rs62143206	ANXA1	301	102.721	10.1101/134551
rs62143198	ABHD14A	25864	102.538	10.1101/134551
rs71503194	ADAMTS13	11093	102.357	10.1101/134551
rs62143206	GMFG	9535	102.071	10.1101/134551
rs62143198	GPI	2821	102.06	10.1101/134551
rs34983651	ANGPTL1	9068	101.721	10.1101/134551
rs704	SLC35G2	80723	100.745	10.1101/134551
rs62143197	EIF3G	8666	100.602	10.1101/134551
rs3134900	MICB	4277	100.602	10.1101/134551
rs12881760	DLK1	8788	100.456	10.1101/134551
rs9996608	NAAA	27163	100.409	10.1101/134551
rs62143206	LCK	3932	99.854	10.1101/134551
rs115651556	PLXNC1	10154	99.678	10.1101/134551
rs6667532	NFASC	23114	99.387	10.1101/134551
rs62143206	HNRNPM	4670	99.26	10.1101/134551
rs12459634	IGFLR1	79713	99.237	10.1101/134551
rs559054	SERPINA10	51156	99.229	10.1101/134551
rs62143198	CBL	867	99.022	10.1101/134551
rs45543339	GDF15	9518	98.854	10.1101/134551
rs73043857	THBS2	7058	98.161	10.1101/134551
rs4632248	SWAP70	23075	97.699	10.1101/134551
rs62143198	SHC1	6464	97.553	10.1101/134551
rs62143206	SRSF7	6432	97.456	10.1101/134551
rs1065853	HBQ1	3049	96.959	10.1101/134551
rs62143196	STMN3	50861	96.886	10.1101/134551
rs62143198	PCBP1	5093	96.42	10.1101/134551
rs62143198	MAPK8	5599	96.092	10.1101/134551
